artifact,evidence_status,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint,note
batch_contiguity__owarimonogatari3__qwen__qwen3-14b__local-rocm-contig.json,supported_measurement,batch_contiguity,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,f16?,scattered,162,57,35.2,ok,False,1ce18fdd,19624.4,08-02 09:52,http://127.0.0.1:8090/v1,
batch_size__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,exploratory,batch_size,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,b1,400,242,60.5,ok,False,,3853.3,07-28 17:32,http://127.0.0.1:8090/v1,
batch_size__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,exploratory,batch_size,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,b25,400,317,79.2,ok,False,,3853.3,07-28 17:32,http://127.0.0.1:8090/v1,
batch_size__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,exploratory,batch_size,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,b5,400,276,69.0,ok,False,,3853.3,07-28 17:32,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp-wide.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b100,400,249,62.3,ok,True,6c003aaf,2990.1,07-28 21:02,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp-wide.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,400,239,59.8,ok,True,6c003aaf,2990.1,07-28 21:02,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp-wide.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,400,255,63.7,ok,True,6c003aaf,2990.1,07-28 21:02,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b1,400,216,54.0,ok,False,e2ee8b54,2298.0,07-28 16:52,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b10,400,216,54.0,ok,False,e2ee8b54,2298.0,07-28 16:52,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b25,400,222,55.5,ok,False,e2ee8b54,2298.0,07-28 16:52,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,batch_size,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b5,400,216,54.0,ok,False,e2ee8b54,2298.0,07-28 16:52,http://127.0.0.1:8090/v1,
batch_size__grimgar03__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,grimgar03,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b1,400,211,52.8,ok,False,,2647.3,07-28 16:02,http://localhost:1234/v1,
batch_size__grimgar03__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,grimgar03,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b10,400,208,52.0,ok,False,,2647.3,07-28 16:02,http://localhost:1234/v1,
batch_size__grimgar03__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,grimgar03,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b25,400,223,55.8,ok,False,,2647.3,07-28 16:02,http://localhost:1234/v1,
batch_size__grimgar03__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,grimgar03,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b5,400,208,52.0,ok,False,,2647.3,07-28 16:02,http://localhost:1234/v1,
batch_size__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b10,99,68,68.7,ok,False,04a69e4c,1851.3,07-29 01:50,http://127.0.0.1:8090/v1,
batch_size__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,99,66,66.7,ok,False,04a69e4c,1851.3,07-29 01:50,http://127.0.0.1:8090/v1,
batch_size__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b5,99,54,54.5,ok,False,04a69e4c,1851.3,07-29 01:50,http://127.0.0.1:8090/v1,
